"U.S. Department of Energy, The Energy Information Administration (EIA)",,,,,
"Monthly Fuel Consumption Data by State, Producer Sector and Energy Source; Months Through November 2021",,,,,
Sources: EIA-923 Report,,,,,
,,,,,
YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,CONSUMPTION
2021,1,MN,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"4,292,095"
2021,1,MN,"Electric Generators, Electric Utilities",Petroleum (Barrels),"4,068"
2021,1,MO,Total Electric Power Industry,Coal (Short Tons),"3,271,451"
2021,1,MO,Total Electric Power Industry,Natural Gas (Mcf),"4,370,193"
2021,1,MO,Total Electric Power Industry,Petroleum (Barrels),"14,780"
2021,1,MO,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2021,1,MO,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"18,508"
2021,1,MO,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,1,MO,"Combined Heat and Power, Commercial Power",Coal (Short Tons),347
2021,1,MO,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"52,858"
2021,1,MO,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),4
2021,1,MO,"Combined Heat and Power, Electric Power",Coal (Short Tons),0
2021,1,MO,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"6,025"
2021,1,MO,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2021,1,MO,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"945,923"
2021,1,MO,"Electric Generators, Electric Utilities",Coal (Short Tons),"3,271,104"
2021,1,MO,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"3,346,879"
2021,1,MO,"Electric Generators, Electric Utilities",Petroleum (Barrels),"14,776"
2021,1,MS,Total Electric Power Industry,Coal (Short Tons),"485,360"
2021,1,MS,Total Electric Power Industry,Natural Gas (Mcf),"35,783,221"
2021,1,MS,Total Electric Power Industry,Petroleum (Barrels),"1,512"
2021,1,MS,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2021,1,MS,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"274,098"
2021,1,MS,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),263
2021,1,MS,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),0
2021,1,MS,"Electric Generators, Independent Power Producers",Coal (Short Tons),"298,496"
2021,1,MS,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"2,869"
2021,1,MS,"Electric Generators, Electric Utilities",Coal (Short Tons),"186,864"
2021,1,MS,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"35,506,254"
2021,1,MS,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,249"
2021,1,MT,Total Electric Power Industry,Coal (Short Tons),"674,411"
2021,1,MT,Total Electric Power Industry,Natural Gas (Mcf),"224,202"
2021,1,MT,Total Electric Power Industry,Other Gases (Billion Btu),11
2021,1,MT,Total Electric Power Industry,Petroleum (Barrels),"87,279"
2021,1,MT,"Combined Heat and Power, Industrial Power",Coal (Short Tons),791
2021,1,MT,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"3,039"
2021,1,MT,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),0
2021,1,MT,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,1,MT,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),11
2021,1,MT,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"86,831"
2021,1,MT,"Electric Generators, Independent Power Producers",Coal (Short Tons),"648,580"
2021,1,MT,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"26,335"
2021,1,MT,"Electric Generators, Independent Power Producers",Petroleum (Barrels),412
2021,1,MT,"Electric Generators, Electric Utilities",Coal (Short Tons),"25,040"
2021,1,MT,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"194,828"
2021,1,MT,"Electric Generators, Electric Utilities",Petroleum (Barrels),36
2021,1,NC,Total Electric Power Industry,Coal (Short Tons),"969,604"
2021,1,NC,Total Electric Power Industry,Natural Gas (Mcf),"29,711,219"
2021,1,NC,Total Electric Power Industry,Petroleum (Barrels),"18,255"
2021,1,NC,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"2,990"
2021,1,NC,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"91,199"
2021,1,NC,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),767
2021,1,NC,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"1,222"
2021,1,NC,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"126,909"
2021,1,NC,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),30
2021,1,NC,"Combined Heat and Power, Electric Power",Coal (Short Tons),620
2021,1,NC,"Combined Heat and Power, Electric Power",Petroleum (Barrels),22
2021,1,NC,"Electric Generators, Independent Power Producers",Coal (Short Tons),"1,751"
2021,1,NC,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"4,100,981"
2021,1,NC,"Electric Generators, Independent Power Producers",Petroleum (Barrels),534
2021,1,NC,"Electric Generators, Electric Utilities",Coal (Short Tons),"963,021"
2021,1,NC,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"25,392,130"
2021,1,NC,"Electric Generators, Electric Utilities",Petroleum (Barrels),"16,902"
2021,1,ND,Total Electric Power Industry,Coal (Short Tons),"1,882,665"
2021,1,ND,Total Electric Power Industry,Natural Gas (Mcf),"1,112,367"
2021,1,ND,Total Electric Power Industry,Other Gases (Billion Btu),37
2021,1,ND,Total Electric Power Industry,Petroleum (Barrels),"3,606"
2021,1,ND,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"2,835"
2021,1,ND,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"27,908"
2021,1,ND,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),37
2021,1,ND,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,1,ND,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),9
2021,1,ND,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,879,830"
2021,1,ND,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,084,459"
2021,1,ND,"Electric Generators, Electric Utilities",Petroleum (Barrels),"3,597"
2021,1,NE,Total Electric Power Industry,Coal (Short Tons),"1,068,313"
2021,1,NE,Total Electric Power Industry,Natural Gas (Mcf),"614,888"
2021,1,NE,Total Electric Power Industry,Petroleum (Barrels),"2,737"
2021,1,NE,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"24,870"
2021,1,NE,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),0
2021,1,NE,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"3,177"
2021,1,NE,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,043,443"
2021,1,NE,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"611,711"
2021,1,NE,"Electric Generators, Electric Utilities",Petroleum (Barrels),"2,737"
2021,1,NH,Total Electric Power Industry,Coal (Short Tons),"17,277"
2021,1,NH,Total Electric Power Industry,Natural Gas (Mcf),"2,062,238"
2021,1,NH,Total Electric Power Industry,Petroleum (Barrels),"16,025"
2021,1,NH,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"16,795"
2021,1,NH,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,1,NH,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"4,126"
2021,1,NH,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"1,609"
2021,1,NH,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"2,031,466"
2021,1,NH,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"6,320"
2021,1,NH,"Electric Generators, Electric Utilities",Coal (Short Tons),"17,277"
2021,1,NH,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"9,851"
2021,1,NH,"Electric Generators, Electric Utilities",Petroleum (Barrels),"8,096"
2021,1,NJ,Total Electric Power Industry,Coal (Short Tons),"35,928"
2021,1,NJ,Total Electric Power Industry,Natural Gas (Mcf),"11,413,221"
2021,1,NJ,Total Electric Power Industry,Other Gases (Billion Btu),92
2021,1,NJ,Total Electric Power Industry,Petroleum (Barrels),"8,813"
2021,1,NJ,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"114,011"
2021,1,NJ,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),92
2021,1,NJ,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),35
2021,1,NJ,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"104,767"
2021,1,NJ,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),19
2021,1,NJ,"Combined Heat and Power, Electric Power",Coal (Short Tons),"35,928"
2021,1,NJ,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"3,105,938"
2021,1,NJ,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"4,439"
2021,1,NJ,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2021,1,NJ,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"8,041,621"
2021,1,NJ,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"4,320"
2021,1,NJ,"Electric Generators, Electric Utilities",Coal (Short Tons),0
2021,1,NJ,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"46,884"
2021,1,NJ,"Electric Generators, Electric Utilities",Petroleum (Barrels),0
2021,1,NM,Total Electric Power Industry,Coal (Short Tons),"745,019"
2021,1,NM,Total Electric Power Industry,Geothermal (Billion Btu),57
2021,1,NM,Total Electric Power Industry,Natural Gas (Mcf),"6,968,739"
2021,1,NM,Total Electric Power Industry,Petroleum (Barrels),"3,320"
2021,1,NM,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),0
2021,1,NM,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,1,NM,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"50,250"
2021,1,NM,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"2,889"
2021,1,NM,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),57
2021,1,NM,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"2,446,633"
2021,1,NM,"Electric Generators, Electric Utilities",Coal (Short Tons),"745,019"
2021,1,NM,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"4,468,967"
2021,1,NM,"Electric Generators, Electric Utilities",Petroleum (Barrels),"3,320"
2021,1,NV,Total Electric Power Industry,Coal (Short Tons),"48,543"
2021,1,NV,Total Electric Power Industry,Geothermal (Billion Btu),"3,020"
2021,1,NV,Total Electric Power Industry,Natural Gas (Mcf),"15,403,689"
2021,1,NV,Total Electric Power Industry,Other Gases (Billion Btu),0
2021,1,NV,Total Electric Power Industry,Petroleum (Barrels),700
2021,1,NV,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"103,550"
2021,1,NV,"Combined Heat and Power, Commercial Power",Geothermal (Billion Btu),386
2021,1,NV,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"20,447"
2021,1,NV,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"1,331,465"
2021,1,NV,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),0
2021,1,NV,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2021,1,NV,"Electric Generators, Independent Power Producers",Coal (Short Tons),"48,543"
2021,1,NV,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),"2,634"
2021,1,NV,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),419
2021,1,NV,"Electric Generators, Independent Power Producers",Petroleum (Barrels),700
2021,1,NV,"Electric Generators, Electric Utilities",Coal (Short Tons),0
2021,1,NV,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"13,947,808"
2021,1,NV,"Electric Generators, Electric Utilities",Petroleum (Barrels),0
2021,1,NY,Total Electric Power Industry,Coal (Short Tons),0
2021,1,NY,Total Electric Power Industry,Natural Gas (Mcf),"33,908,351"
2021,1,NY,Total Electric Power Industry,Other Gases (Billion Btu),0
2021,1,NY,Total Electric Power Industry,Petroleum (Barrels),"230,504"
2021,1,NY,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2021,1,NY,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"354,562"
2021,1,NY,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),0
2021,1,NY,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),870
2021,1,NY,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2021,1,NY,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"475,558"
2021,1,NY,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"1,375"
2021,1,NY,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"7,123,566"
2021,1,NY,"Combined Heat and Power, Electric Power",Petroleum (Barrels),32
2021,1,NY,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2021,1,NY,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"14,462,648"
2021,1,NY,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"54,547"
2021,1,NY,"Electric Generators, Electric Utilities",Coal (Short Tons),0
2021,1,NY,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"11,492,017"
2021,1,NY,"Electric Generators, Electric Utilities",Petroleum (Barrels),"173,680"
2021,1,OH,Total Electric Power Industry,Coal (Short Tons),"1,664,784"
2021,1,OH,Total Electric Power Industry,Natural Gas (Mcf),"34,316,016"
2021,1,OH,Total Electric Power Industry,Other Gases (Billion Btu),312
2021,1,OH,Total Electric Power Industry,Petroleum (Barrels),"189,623"
2021,1,OH,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2021,1,OH,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"138,362"
2021,1,OH,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),34
2021,1,OH,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),77
2021,1,OH,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2021,1,OH,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"82,398"
2021,1,OH,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),1
2021,1,OH,"Combined Heat and Power, Electric Power",Coal (Short Tons),0
2021,1,OH,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"65,627"
2021,1,OH,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),278
2021,1,OH,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"172,350"
2021,1,OH,"Electric Generators, Independent Power Producers",Coal (Short Tons),"1,436,623"
2021,1,OH,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"28,309,108"
2021,1,OH,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"12,481"
2021,1,OH,"Electric Generators, Electric Utilities",Coal (Short Tons),"228,161"
2021,1,OH,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"5,720,521"
2021,1,OH,"Electric Generators, Electric Utilities",Petroleum (Barrels),"4,714"
2021,1,OK,Total Electric Power Industry,Coal (Short Tons),"596,578"
2021,1,OK,Total Electric Power Industry,Natural Gas (Mcf),"22,633,360"
2021,1,OK,Total Electric Power Industry,Petroleum (Barrels),"6,712"
2021,1,OK,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2021,1,OK,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"359,278"
2021,1,OK,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),21
2021,1,OK,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),0
2021,1,OK,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2021,1,OK,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"8,145,464"
2021,1,OK,"Electric Generators, Electric Utilities",Coal (Short Tons),"596,578"
2021,1,OK,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"14,128,618"
2021,1,OK,"Electric Generators, Electric Utilities",Petroleum (Barrels),"6,691"
2021,1,OR,Total Electric Power Industry,Geothermal (Billion Btu),159
2021,1,OR,Total Electric Power Industry,Natural Gas (Mcf),"11,301,495"
2021,1,OR,Total Electric Power Industry,Petroleum (Barrels),27
2021,1,OR,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"50,926"
2021,1,OR,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,1,OR,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"18,112"
2021,1,OR,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2021,1,OR,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"2,903,647"
2021,1,OR,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),159
2021,1,OR,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"2,640,737"
2021,1,OR,"Electric Generators, Electric Utilities",Geothermal (Billion Btu),0
2021,1,OR,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"5,688,073"
2021,1,OR,"Electric Generators, Electric Utilities",Petroleum (Barrels),27
2021,1,PA,Total Electric Power Industry,Coal (Short Tons),"1,883,137"
2021,1,PA,Total Electric Power Industry,Natural Gas (Mcf),"72,945,434"
2021,1,PA,Total Electric Power Industry,Other Gases (Billion Btu),281
2021,1,PA,Total Electric Power Industry,Petroleum (Barrels),"18,731"
2021,1,PA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"1,329"
2021,1,PA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"726,786"
2021,1,PA,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),281
2021,1,PA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"1,671"
2021,1,PA,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2021,1,PA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"58,470"
2021,1,PA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),479
2021,1,PA,"Combined Heat and Power, Electric Power",Coal (Short Tons),"210,310"
2021,1,PA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"2,922,646"
2021,1,PA,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),0
2021,1,PA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),455
2021,1,PA,"Electric Generators, Independent Power Producers",Coal (Short Tons),"1,671,498"
2021,1,PA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"69,237,165"
